model_name,industry,intent_type,n,avg_paragraph_count,avg_header_count,avg_bullet_count,avg_numbered_item_count,avg_list_item_count,pct_has_conclusion,pct_条列型,pct_段落型,pct_混合型,avg_first_para_ratio,avg_bold_marker_count
chatgpt,寵物業,推薦型,54,28.0,8.204,33.574,0.389,33.963,0.0,57.4,0.0,42.6,0.044,26.167
chatgpt,寵物業,比較型,54,29.778,9.0,22.926,1.167,24.093,7.4,22.2,0.0,77.8,0.039,24.185
chatgpt,寵物業,知識型,54,25.741,6.87,17.704,0.704,18.407,14.8,3.7,1.9,94.4,0.047,18.389
chatgpt,搬家類,推薦型,54,26.222,8.259,29.481,0.37,29.852,1.9,51.9,0.0,48.1,0.043,22.444
chatgpt,搬家類,比較型,54,31.722,8.481,23.556,0.426,23.981,5.6,1.9,1.9,96.3,0.037,20.556
chatgpt,搬家類,知識型,54,31.111,10.185,31.722,0.444,32.167,3.7,46.3,0.0,53.7,0.039,17.315
chatgpt,服裝類,推薦型,54,27.481,6.833,28.611,0.0,28.611,1.9,37.0,0.0,63.0,0.04,22.574
chatgpt,服裝類,比較型,54,23.759,6.352,20.167,0.13,20.296,18.5,16.7,1.9,81.5,0.043,20.796
chatgpt,服裝類,知識型,54,27.63,7.463,22.815,0.648,23.463,5.6,11.1,0.0,88.9,0.045,19.296
chatgpt,法律類,推薦型,54,27.889,7.778,25.111,1.019,26.13,5.6,27.8,0.0,72.2,0.041,18.13
chatgpt,法律類,比較型,54,29.593,8.593,22.185,0.833,23.019,13.0,5.6,0.0,94.4,0.039,19.074
chatgpt,法律類,知識型,54,31.481,9.593,24.204,1.611,25.815,7.4,5.6,0.0,94.4,0.036,20.611
chatgpt,科技類,推薦型,54,31.889,10.019,34.537,0.0,34.537,1.9,38.9,0.0,61.1,0.04,26.685
chatgpt,科技類,比較型,54,30.759,9.185,26.481,0.333,26.815,5.6,11.1,0.0,88.9,0.035,28.111
chatgpt,科技類,知識型,54,28.204,7.352,23.093,0.389,23.481,7.4,16.7,0.0,83.3,0.035,18.796
chatgpt,美妝業,推薦型,54,25.0,8.167,29.167,0.0,29.167,5.6,61.1,0.0,38.9,0.037,22.815
chatgpt,美妝業,比較型,54,23.444,6.389,18.944,0.148,19.093,5.6,11.1,1.9,87.0,0.038,23.204
chatgpt,美妝業,知識型,54,24.87,7.037,18.852,0.278,19.13,5.6,7.4,0.0,92.6,0.037,19.833
chatgpt,行銷類,推薦型,53,31.283,10.566,34.038,0.151,34.189,0.0,41.5,0.0,58.5,0.048,25.736
chatgpt,行銷類,比較型,54,34.815,9.463,27.685,0.611,28.296,0.0,3.7,0.0,96.3,0.034,21.722
chatgpt,行銷類,知識型,54,31.759,7.852,23.926,2.259,26.185,5.6,11.1,5.6,83.3,0.043,13.722
chatgpt,金融類,推薦型,54,30.056,8.63,24.667,0.111,24.778,7.4,13.0,0.0,87.0,0.054,22.722
chatgpt,金融類,比較型,54,26.926,7.093,19.259,0.481,19.741,1.9,9.3,3.7,87.0,0.085,20.37
chatgpt,金融類,知識型,54,31.519,8.222,21.0,0.667,21.667,3.7,7.4,1.9,90.7,0.046,17.815
chatgpt,電腦類,推薦型,54,31.889,9.056,34.796,0.093,34.889,9.3,46.3,0.0,53.7,0.033,25.389
chatgpt,電腦類,比較型,54,29.944,7.944,26.593,0.481,27.074,3.7,20.4,1.9,77.8,0.031,25.315
chatgpt,電腦類,知識型,53,28.453,7.717,21.547,0.264,21.811,7.5,15.1,7.5,77.4,0.042,18.302
chatgpt,食品業,推薦型,54,20.111,5.204,30.333,0.0,30.333,7.4,94.4,0.0,5.6,0.05,23.111
chatgpt,食品業,比較型,53,25.717,7.755,24.528,0.094,24.623,5.7,22.6,0.0,77.4,0.043,24.34
chatgpt,食品業,知識型,54,14.333,3.963,15.222,0.222,15.444,35.2,38.9,0.0,61.1,0.052,15.926
gemini,寵物業,推薦型,54,7.926,4.778,17.796,3.037,20.833,92.6,96.3,0.0,3.7,0.066,25.907
gemini,寵物業,比較型,54,10.407,4.463,10.926,3.056,13.981,94.4,29.6,1.9,68.5,0.053,29.13
gemini,寵物業,知識型,54,9.13,4.278,12.019,2.463,14.481,85.2,55.6,0.0,44.4,0.059,23.519
gemini,搬家類,推薦型,54,7.833,4.0,15.704,3.926,19.63,94.4,77.8,0.0,22.2,0.064,26.333
gemini,搬家類,比較型,54,10.056,4.5,11.333,3.111,14.444,94.4,33.3,0.0,66.7,0.053,26.778
gemini,搬家類,知識型,54,8.667,4.907,18.593,4.481,23.074,77.8,90.7,0.0,9.3,0.056,27.333
gemini,服裝類,推薦型,54,7.13,4.667,17.148,1.87,19.019,72.2,88.9,0.0,11.1,0.064,29.87
gemini,服裝類,比較型,54,9.537,4.426,15.037,1.481,16.519,79.6,59.3,0.0,40.7,0.059,29.63
gemini,服裝類,知識型,54,7.296,4.741,17.352,1.704,19.056,79.6,77.8,0.0,22.2,0.064,29.815
gemini,法律類,推薦型,54,8.185,3.963,13.241,3.407,16.648,85.2,72.2,0.0,27.8,0.062,24.13
gemini,法律類,比較型,54,11.222,4.852,9.056,3.796,12.852,98.1,11.1,0.0,88.9,0.051,28.296
gemini,法律類,知識型,54,9.222,5.111,15.833,5.537,21.37,85.2,92.6,0.0,7.4,0.054,26.13
gemini,科技類,推薦型,54,8.648,4.667,18.111,2.093,20.204,90.7,81.5,0.0,18.5,0.054,31.333
gemini,科技類,比較型,54,10.148,4.722,13.426,1.611,15.037,92.6,33.3,0.0,66.7,0.055,34.704
gemini,科技類,知識型,54,8.093,4.037,10.333,3.444,13.778,94.4,61.1,0.0,38.9,0.062,24.389
gemini,美妝業,推薦型,54,7.259,4.37,18.426,2.259,20.685,88.9,92.6,0.0,7.4,0.065,26.685
gemini,美妝業,比較型,54,9.852,4.556,9.907,2.093,12.0,100.0,20.4,5.6,74.1,0.052,30.519
gemini,美妝業,知識型,54,8.074,4.167,11.444,2.278,13.722,92.6,50.0,0.0,50.0,0.057,24.019
gemini,行銷類,推薦型,54,8.796,4.407,17.222,3.278,20.5,94.4,81.5,0.0,18.5,0.059,27.463
gemini,行銷類,比較型,54,11.796,5.204,13.426,3.815,17.241,90.7,33.3,0.0,66.7,0.048,33.926
gemini,行銷類,知識型,54,8.222,4.815,11.5,4.463,15.963,87.0,77.8,0.0,22.2,0.064,21.778
gemini,金融類,推薦型,54,8.852,4.852,20.685,2.13,22.815,72.2,90.7,1.9,7.4,0.054,41.185
gemini,金融類,比較型,54,11.37,4.889,15.315,1.759,17.074,85.2,38.9,3.7,57.4,0.05,36.611
gemini,金融類,知識型,54,10.611,5.204,12.056,3.5,15.556,83.3,66.7,0.0,33.3,0.051,24.148
gemini,電腦類,推薦型,54,8.87,4.963,18.019,2.333,20.352,92.6,75.9,0.0,24.1,0.061,31.352
gemini,電腦類,比較型,54,9.852,5.0,18.074,1.333,19.407,87.0,44.4,0.0,55.6,0.047,37.167
gemini,電腦類,知識型,54,9.167,4.759,14.444,1.5,15.944,96.3,64.8,0.0,35.2,0.053,27.833
gemini,食品業,推薦型,54,7.167,5.093,21.63,0.907,22.537,90.7,96.3,0.0,3.7,0.063,28.426
gemini,食品業,比較型,54,9.259,4.593,14.778,1.037,15.815,85.2,42.6,1.9,55.6,0.056,33.796
gemini,食品業,知識型,54,6.852,3.759,10.815,2.056,12.87,85.2,63.0,0.0,37.0,0.067,22.093
