industry,model_name,intent_type,category,category_label,citation_count,citation_share_pct
科技類,chatgpt,推薦型,brand_site,品牌 / 官方型來源,6,2.67
科技類,chatgpt,推薦型,influencer_blogger,評測 / 部落格 / KOL,99,44.0
科技類,chatgpt,推薦型,news_media,新聞媒體,85,37.78
科技類,chatgpt,推薦型,social_media,社群媒體,8,3.56
科技類,chatgpt,推薦型,ecommerce_site,電商 / 平台,10,4.44
科技類,chatgpt,推薦型,other_category,其他來源,17,7.56
科技類,chatgpt,推薦型,unknown,未知來源,0,0.0
科技類,chatgpt,比較型,brand_site,品牌 / 官方型來源,35,14.4
科技類,chatgpt,比較型,influencer_blogger,評測 / 部落格 / KOL,146,60.08
科技類,chatgpt,比較型,news_media,新聞媒體,48,19.75
科技類,chatgpt,比較型,social_media,社群媒體,2,0.82
科技類,chatgpt,比較型,ecommerce_site,電商 / 平台,2,0.82
科技類,chatgpt,比較型,other_category,其他來源,10,4.12
科技類,chatgpt,比較型,unknown,未知來源,0,0.0
科技類,chatgpt,知識型,brand_site,品牌 / 官方型來源,38,13.97
科技類,chatgpt,知識型,influencer_blogger,評測 / 部落格 / KOL,122,44.85
科技類,chatgpt,知識型,news_media,新聞媒體,55,20.22
科技類,chatgpt,知識型,social_media,社群媒體,14,5.15
科技類,chatgpt,知識型,ecommerce_site,電商 / 平台,27,9.93
科技類,chatgpt,知識型,other_category,其他來源,16,5.88
科技類,chatgpt,知識型,unknown,未知來源,0,0.0
科技類,gemini,推薦型,brand_site,品牌 / 官方型來源,90,17.93
科技類,gemini,推薦型,influencer_blogger,評測 / 部落格 / KOL,138,27.49
科技類,gemini,推薦型,news_media,新聞媒體,100,19.92
科技類,gemini,推薦型,social_media,社群媒體,125,24.9
科技類,gemini,推薦型,ecommerce_site,電商 / 平台,49,9.76
科技類,gemini,推薦型,other_category,其他來源,0,0.0
科技類,gemini,推薦型,unknown,未知來源,0,0.0
科技類,gemini,比較型,brand_site,品牌 / 官方型來源,108,23.33
科技類,gemini,比較型,influencer_blogger,評測 / 部落格 / KOL,121,26.13
科技類,gemini,比較型,news_media,新聞媒體,105,22.68
科技類,gemini,比較型,social_media,社群媒體,70,15.12
科技類,gemini,比較型,ecommerce_site,電商 / 平台,58,12.53
科技類,gemini,比較型,other_category,其他來源,1,0.22
科技類,gemini,比較型,unknown,未知來源,0,0.0
科技類,gemini,知識型,brand_site,品牌 / 官方型來源,167,35.23
科技類,gemini,知識型,influencer_blogger,評測 / 部落格 / KOL,84,17.72
科技類,gemini,知識型,news_media,新聞媒體,90,18.99
科技類,gemini,知識型,social_media,社群媒體,62,13.08
科技類,gemini,知識型,ecommerce_site,電商 / 平台,66,13.92
科技類,gemini,知識型,other_category,其他來源,5,1.05
科技類,gemini,知識型,unknown,未知來源,0,0.0
法律類,chatgpt,推薦型,brand_site,品牌 / 官方型來源,226,83.7
法律類,chatgpt,推薦型,influencer_blogger,評測 / 部落格 / KOL,21,7.78
法律類,chatgpt,推薦型,news_media,新聞媒體,16,5.93
法律類,chatgpt,推薦型,social_media,社群媒體,1,0.37
法律類,chatgpt,推薦型,ecommerce_site,電商 / 平台,0,0.0
法律類,chatgpt,推薦型,other_category,其他來源,6,2.22
法律類,chatgpt,推薦型,unknown,未知來源,0,0.0
法律類,chatgpt,比較型,brand_site,品牌 / 官方型來源,63,40.91
法律類,chatgpt,比較型,influencer_blogger,評測 / 部落格 / KOL,66,42.86
法律類,chatgpt,比較型,news_media,新聞媒體,18,11.69
法律類,chatgpt,比較型,social_media,社群媒體,0,0.0
法律類,chatgpt,比較型,ecommerce_site,電商 / 平台,0,0.0
法律類,chatgpt,比較型,other_category,其他來源,7,4.55
法律類,chatgpt,比較型,unknown,未知來源,0,0.0
法律類,chatgpt,知識型,brand_site,品牌 / 官方型來源,124,51.24
法律類,chatgpt,知識型,influencer_blogger,評測 / 部落格 / KOL,80,33.06
法律類,chatgpt,知識型,news_media,新聞媒體,8,3.31
法律類,chatgpt,知識型,social_media,社群媒體,0,0.0
法律類,chatgpt,知識型,ecommerce_site,電商 / 平台,0,0.0
法律類,chatgpt,知識型,other_category,其他來源,30,12.4
法律類,chatgpt,知識型,unknown,未知來源,0,0.0
法律類,gemini,推薦型,brand_site,品牌 / 官方型來源,497,86.89
法律類,gemini,推薦型,influencer_blogger,評測 / 部落格 / KOL,19,3.32
法律類,gemini,推薦型,news_media,新聞媒體,15,2.62
法律類,gemini,推薦型,social_media,社群媒體,27,4.72
法律類,gemini,推薦型,ecommerce_site,電商 / 平台,0,0.0
法律類,gemini,推薦型,other_category,其他來源,14,2.45
法律類,gemini,推薦型,unknown,未知來源,0,0.0
法律類,gemini,比較型,brand_site,品牌 / 官方型來源,504,81.16
法律類,gemini,比較型,influencer_blogger,評測 / 部落格 / KOL,42,6.76
法律類,gemini,比較型,news_media,新聞媒體,28,4.51
法律類,gemini,比較型,social_media,社群媒體,27,4.35
法律類,gemini,比較型,ecommerce_site,電商 / 平台,0,0.0
法律類,gemini,比較型,other_category,其他來源,20,3.22
法律類,gemini,比較型,unknown,未知來源,0,0.0
法律類,gemini,知識型,brand_site,品牌 / 官方型來源,485,64.93
法律類,gemini,知識型,influencer_blogger,評測 / 部落格 / KOL,50,6.69
法律類,gemini,知識型,news_media,新聞媒體,28,3.75
法律類,gemini,知識型,social_media,社群媒體,17,2.28
法律類,gemini,知識型,ecommerce_site,電商 / 平台,10,1.34
法律類,gemini,知識型,other_category,其他來源,157,21.02
法律類,gemini,知識型,unknown,未知來源,0,0.0
金融類,chatgpt,推薦型,brand_site,品牌 / 官方型來源,44,17.6
金融類,chatgpt,推薦型,influencer_blogger,評測 / 部落格 / KOL,180,72.0
金融類,chatgpt,推薦型,news_media,新聞媒體,24,9.6
金融類,chatgpt,推薦型,social_media,社群媒體,0,0.0
金融類,chatgpt,推薦型,ecommerce_site,電商 / 平台,1,0.4
金融類,chatgpt,推薦型,other_category,其他來源,1,0.4
金融類,chatgpt,推薦型,unknown,未知來源,0,0.0
金融類,chatgpt,比較型,brand_site,品牌 / 官方型來源,25,15.92
金融類,chatgpt,比較型,influencer_blogger,評測 / 部落格 / KOL,90,57.32
金融類,chatgpt,比較型,news_media,新聞媒體,35,22.29
金融類,chatgpt,比較型,social_media,社群媒體,3,1.91
金融類,chatgpt,比較型,ecommerce_site,電商 / 平台,1,0.64
金融類,chatgpt,比較型,other_category,其他來源,3,1.91
金融類,chatgpt,比較型,unknown,未知來源,0,0.0
金融類,chatgpt,知識型,brand_site,品牌 / 官方型來源,52,30.06
金融類,chatgpt,知識型,influencer_blogger,評測 / 部落格 / KOL,84,48.55
金融類,chatgpt,知識型,news_media,新聞媒體,28,16.18
金融類,chatgpt,知識型,social_media,社群媒體,1,0.58
金融類,chatgpt,知識型,ecommerce_site,電商 / 平台,0,0.0
金融類,chatgpt,知識型,other_category,其他來源,8,4.62
金融類,chatgpt,知識型,unknown,未知來源,0,0.0
金融類,gemini,推薦型,brand_site,品牌 / 官方型來源,111,18.26
金融類,gemini,推薦型,influencer_blogger,評測 / 部落格 / KOL,190,31.25
金融類,gemini,推薦型,news_media,新聞媒體,214,35.2
金融類,gemini,推薦型,social_media,社群媒體,63,10.36
金融類,gemini,推薦型,ecommerce_site,電商 / 平台,14,2.3
金融類,gemini,推薦型,other_category,其他來源,16,2.63
金融類,gemini,推薦型,unknown,未知來源,0,0.0
金融類,gemini,比較型,brand_site,品牌 / 官方型來源,109,15.24
金融類,gemini,比較型,influencer_blogger,評測 / 部落格 / KOL,318,44.48
金融類,gemini,比較型,news_media,新聞媒體,194,27.13
金融類,gemini,比較型,social_media,社群媒體,70,9.79
金融類,gemini,比較型,ecommerce_site,電商 / 平台,19,2.66
金融類,gemini,比較型,other_category,其他來源,5,0.7
金融類,gemini,比較型,unknown,未知來源,0,0.0
金融類,gemini,知識型,brand_site,品牌 / 官方型來源,242,43.06
金融類,gemini,知識型,influencer_blogger,評測 / 部落格 / KOL,124,22.06
金融類,gemini,知識型,news_media,新聞媒體,126,22.42
金融類,gemini,知識型,social_media,社群媒體,44,7.83
金融類,gemini,知識型,ecommerce_site,電商 / 平台,15,2.67
金融類,gemini,知識型,other_category,其他來源,11,1.96
金融類,gemini,知識型,unknown,未知來源,0,0.0
行銷類,chatgpt,推薦型,brand_site,品牌 / 官方型來源,235,64.92
行銷類,chatgpt,推薦型,influencer_blogger,評測 / 部落格 / KOL,73,20.17
行銷類,chatgpt,推薦型,news_media,新聞媒體,4,1.1
行銷類,chatgpt,推薦型,social_media,社群媒體,0,0.0
行銷類,chatgpt,推薦型,ecommerce_site,電商 / 平台,13,3.59
行銷類,chatgpt,推薦型,other_category,其他來源,37,10.22
行銷類,chatgpt,推薦型,unknown,未知來源,0,0.0
行銷類,chatgpt,比較型,brand_site,品牌 / 官方型來源,128,76.19
行銷類,chatgpt,比較型,influencer_blogger,評測 / 部落格 / KOL,22,13.1
行銷類,chatgpt,比較型,news_media,新聞媒體,8,4.76
行銷類,chatgpt,比較型,social_media,社群媒體,5,2.98
行銷類,chatgpt,比較型,ecommerce_site,電商 / 平台,3,1.79
行銷類,chatgpt,比較型,other_category,其他來源,2,1.19
行銷類,chatgpt,比較型,unknown,未知來源,0,0.0
行銷類,chatgpt,知識型,brand_site,品牌 / 官方型來源,161,70.61
行銷類,chatgpt,知識型,influencer_blogger,評測 / 部落格 / KOL,33,14.47
行銷類,chatgpt,知識型,news_media,新聞媒體,30,13.16
行銷類,chatgpt,知識型,social_media,社群媒體,0,0.0
行銷類,chatgpt,知識型,ecommerce_site,電商 / 平台,1,0.44
行銷類,chatgpt,知識型,other_category,其他來源,3,1.32
行銷類,chatgpt,知識型,unknown,未知來源,0,0.0
行銷類,gemini,推薦型,brand_site,品牌 / 官方型來源,470,87.04
行銷類,gemini,推薦型,influencer_blogger,評測 / 部落格 / KOL,35,6.48
行銷類,gemini,推薦型,news_media,新聞媒體,18,3.33
行銷類,gemini,推薦型,social_media,社群媒體,11,2.04
行銷類,gemini,推薦型,ecommerce_site,電商 / 平台,0,0.0
行銷類,gemini,推薦型,other_category,其他來源,6,1.11
行銷類,gemini,推薦型,unknown,未知來源,0,0.0
行銷類,gemini,比較型,brand_site,品牌 / 官方型來源,507,88.02
行銷類,gemini,比較型,influencer_blogger,評測 / 部落格 / KOL,32,5.56
行銷類,gemini,比較型,news_media,新聞媒體,8,1.39
行銷類,gemini,比較型,social_media,社群媒體,22,3.82
行銷類,gemini,比較型,ecommerce_site,電商 / 平台,1,0.17
行銷類,gemini,比較型,other_category,其他來源,6,1.04
行銷類,gemini,比較型,unknown,未知來源,0,0.0
行銷類,gemini,知識型,brand_site,品牌 / 官方型來源,398,77.89
行銷類,gemini,知識型,influencer_blogger,評測 / 部落格 / KOL,47,9.2
行銷類,gemini,知識型,news_media,新聞媒體,18,3.52
行銷類,gemini,知識型,social_media,社群媒體,33,6.46
行銷類,gemini,知識型,ecommerce_site,電商 / 平台,2,0.39
行銷類,gemini,知識型,other_category,其他來源,13,2.54
行銷類,gemini,知識型,unknown,未知來源,0,0.0
搬家類,chatgpt,推薦型,brand_site,品牌 / 官方型來源,219,65.37
搬家類,chatgpt,推薦型,influencer_blogger,評測 / 部落格 / KOL,59,17.61
搬家類,chatgpt,推薦型,news_media,新聞媒體,2,0.6
搬家類,chatgpt,推薦型,social_media,社群媒體,9,2.69
搬家類,chatgpt,推薦型,ecommerce_site,電商 / 平台,28,8.36
搬家類,chatgpt,推薦型,other_category,其他來源,18,5.37
搬家類,chatgpt,推薦型,unknown,未知來源,0,0.0
搬家類,chatgpt,比較型,brand_site,品牌 / 官方型來源,167,71.06
搬家類,chatgpt,比較型,influencer_blogger,評測 / 部落格 / KOL,29,12.34
搬家類,chatgpt,比較型,news_media,新聞媒體,11,4.68
搬家類,chatgpt,比較型,social_media,社群媒體,1,0.43
搬家類,chatgpt,比較型,ecommerce_site,電商 / 平台,12,5.11
搬家類,chatgpt,比較型,other_category,其他來源,15,6.38
搬家類,chatgpt,比較型,unknown,未知來源,0,0.0
搬家類,chatgpt,知識型,brand_site,品牌 / 官方型來源,210,74.73
搬家類,chatgpt,知識型,influencer_blogger,評測 / 部落格 / KOL,16,5.69
搬家類,chatgpt,知識型,news_media,新聞媒體,31,11.03
搬家類,chatgpt,知識型,social_media,社群媒體,0,0.0
搬家類,chatgpt,知識型,ecommerce_site,電商 / 平台,10,3.56
搬家類,chatgpt,知識型,other_category,其他來源,14,4.98
搬家類,chatgpt,知識型,unknown,未知來源,0,0.0
搬家類,gemini,推薦型,brand_site,品牌 / 官方型來源,374,61.11
搬家類,gemini,推薦型,influencer_blogger,評測 / 部落格 / KOL,101,16.5
搬家類,gemini,推薦型,news_media,新聞媒體,11,1.8
搬家類,gemini,推薦型,social_media,社群媒體,49,8.01
搬家類,gemini,推薦型,ecommerce_site,電商 / 平台,65,10.62
搬家類,gemini,推薦型,other_category,其他來源,12,1.96
搬家類,gemini,推薦型,unknown,未知來源,0,0.0
搬家類,gemini,比較型,brand_site,品牌 / 官方型來源,417,68.59
搬家類,gemini,比較型,influencer_blogger,評測 / 部落格 / KOL,57,9.38
搬家類,gemini,比較型,news_media,新聞媒體,32,5.26
搬家類,gemini,比較型,social_media,社群媒體,41,6.74
搬家類,gemini,比較型,ecommerce_site,電商 / 平台,45,7.4
搬家類,gemini,比較型,other_category,其他來源,16,2.63
搬家類,gemini,比較型,unknown,未知來源,0,0.0
搬家類,gemini,知識型,brand_site,品牌 / 官方型來源,527,82.47
搬家類,gemini,知識型,influencer_blogger,評測 / 部落格 / KOL,23,3.6
搬家類,gemini,知識型,news_media,新聞媒體,29,4.54
搬家類,gemini,知識型,social_media,社群媒體,14,2.19
搬家類,gemini,知識型,ecommerce_site,電商 / 平台,34,5.32
搬家類,gemini,知識型,other_category,其他來源,12,1.88
